sd_cd,시도,시군구,상급종합병원_2019,상급종합병원_2020,상급종합병원_2021,상급종합병원_2022,상급종합병원_2023,상급종합병원_변화량,상급종합병원_변화율%,종합병원_2019,종합병원_2020,종합병원_2021,종합병원_2022,종합병원_2023,종합병원_변화량,종합병원_변화율%,요양병원_2019,요양병원_2020,요양병원_2021,요양병원_2022,요양병원_2023,요양병원_변화량,요양병원_변화율%,응급의료기관_2019,응급의료기관_2020,응급의료기관_2021,응급의료기관_2022,응급의료기관_2023,응급의료기관_변화량,응급의료기관_변화율%,분만실_2019,분만실_2020,분만실_2021,분만실_2022,분만실_2023,분만실_변화량,분만실_변화율%,종합병원병상_2019,종합병원병상_2020,종합병원병상_2021,종합병원병상_2022,종합병원병상_2023,종합병원병상_변화량,종합병원병상_변화율%,전체의사_2019,전체의사_2020,전체의사_2021,전체의사_2022,전체의사_2023,전체의사_변화량,전체의사_변화율%,전체전문의_2019,전체전문의_2020,전체전문의_2021,전체전문의_2022,전체전문의_2023,전체전문의_변화량,전체전문의_변화율%,산부인과전문의_2019,산부인과전문의_2020,산부인과전문의_2021,산부인과전문의_2022,산부인과전문의_2023,산부인과전문의_변화량,산부인과전문의_변화율%,간호사_2019,간호사_2020,간호사_2021,간호사_2022,간호사_2023,간호사_변화량,간호사_변화율%
11110,서울특별시,종로구,8.363553501,8.363592707203086,8.36,8.363595016,8.363573646,2.014500000058206e-05,0.0,16.727107,16.727185414406172,16.73,16.72719003,16.72714729,4.029000000116412e-05,0.0,0.0,0.0,4.18,4.181797508,4.181786823,4.181786823,,16.727107,16.727185414406172,16.73,16.72719003,16.72714729,4.029000000116412e-05,0.0,12.545389060804627,12.545389060804633,12.55,12.54539252,12.54536047,-2.8590804626915656e-05,-0.0,1946.592637,1978.123494,2070.73,2111.346098,2170.467016,223.8743790000001,11.5,1512.327318,1617.977829,1687.83,1739.296501,1810.39615,298.06883199999993,19.71,883.0722454,982.7022974,1027.07,1075.124311,1125.400776,242.3285305999999,27.44,36.35402208,40.83435977,47.69,46.6830293,47.33999441,10.985972330000003,30.22,2461.497786,2649.547475,3087.44,3752.32531,3623.66139,1162.1636040000003,47.21
11140,서울특별시,중구,8.363553501,0.0,0.0,0.0,0.0,-8.363553501,-100.0,20.08035657,20.07970740251967,20.08,20.07974369,10.04021367,-10.0401429,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.08035657,10.039853701259837,20.08,20.07974369,10.04021367,-10.0401429,-50.0,40.15941480503935,40.15941480503934,30.12,30.11961554,20.08042733,-20.078987475039348,-50.0,546.8768576,559.7253274,656.33,550.4952797,411.3360591,-135.5407985,-24.78,633.2675496,684.2861706,688.17,686.6660578,697.3753627,64.10781309999993,10.12,519.1367271,569.3069307,558.37,572.9136395,565.4840412,46.34731409999995,8.93,43.59163358,42.318748,41.63,45.66702924,47.81060406,4.218970480000003,9.68,908.2911287,1058.767167,1106.13,1122.57861,906.7528357,-1.5382929999999533,-0.17
11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,0.0,,4.573229954,4.573280023339826,4.57,4.572973557,4.57298027,-0.00024968399999991675,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,,4.573229954,4.573280023339826,4.57,4.572973557,4.57298027,-0.00024968399999991675,-0.01,9.146560046679651,9.146560046679651,9.15,4.572973557,9.14596054,-0.0005995066796504744,-0.01,317.0507719,315.1625804,325.18,331.5801509,340.1344587,23.08368680000001,7.28,248.3928806,247.7829943,263.28,272.5817517,285.2437943,36.85091369999998,14.84,169.2395155,178.2298731,187.48,197.5760348,208.772185,39.5326695,23.36,10.05816242,10.43296818,11.66,12.8058541,12.66707639,2.6089139699999997,25.94,418.5070188,419.9269692,479.02,485.7077521,515.1277733,96.62075449999992,23.09
11200,서울특별시,성동구,5.931429343,5.930844959949272,5.93,5.945207069,5.94525054445118,0.013821201451180265,0.23,5.931429343,5.930844959949272,5.93,5.945207069,5.94525054445118,0.013821201451180265,0.23,17.79348866,17.792534879847814,17.79,17.83562121,17.8357516333535,0.04226297335349827,0.24,5.931429343,5.930844959949272,5.93,5.94520706918413,5.94525054445118,0.013821201451180265,0.23,17.792534879847814,11.861689919898543,11.86,5.94520706918413,5.94525054445118,-11.847284335396633,-66.59,284.1579453,291.2561828,298.96,304.2704626,310.786303770176,26.62835847017601,9.37,242.614386,253.4439766,266.44,275.8007117,287.351141652936,44.73675565293601,18.44,166.838934,181.9073703,194.41,202.8469751,217.045655301213,50.20672130121301,30.09,9.970454221,8.856913161,9.44,8.185053381,9.37406484689628,-0.5963893741037207,-5.98,387.5183207,400.2643448,462.95,501.0676157,566.409841325925,178.89152062592495,46.16
11215,서울특별시,광진구,5.860651809,5.860655209765568,5.86,5.860690176,5.86069591157442,4.410257442000187e-05,0.0,11.72130362,11.721310419531136,11.72,11.72138035,11.7213918231488,8.820314879898206e-05,0.0,17.58166547,17.581965629296704,11.72,11.72138035,11.7213918231488,-5.860273646851201,-33.33,11.72130362,11.721310419531136,11.72,11.7213803510093,11.7213918231488,8.820314879898206e-05,0.0,29.303276048827843,29.30327604882784,23.44,11.7213803510093,11.7213918231488,-17.581884225679044,-60.0,312.7935107,306.6210533,322.65,324.5252152,319.471679670038,6.678168970037973,2.14,260.9933115,265.6613265,275.0,273.5495649,278.643675831609,17.650364331609012,6.76,191.5468906,197.2989656,205.0,205.9771914,213.676487241993,22.129596641992975,11.55,15.0846734,14.71088779,15.29,14.81850298,14.6027167013357,-0.4819566986643,-3.2,387.9322613,394.3094825,468.53,476.5630557,496.790382471971,108.85812117197099,28.06
11230,서울특별시,동대문구,7.034644166,7.034513822063451,7.03,7.034322174,7.03437096354604,-0.0002732024539593425,-0.0,28.13857667,28.138055288253803,28.14,28.1372887,28.1374838541841,-0.0010928158158982626,-0.0,63.31252347,56.276110576507605,49.24,42.20593305,49.2405967448223,-14.071926725177704,-22.23,28.13857667,28.138055288253803,28.14,28.1372886970513,28.1374838541841,-0.0010928158158982626,-0.0,70.34513822063452,56.276110576507605,56.28,49.2402552198398,56.2749677083683,-14.070170512266223,-20.0,491.0541488,505.4880308,511.26,511.8166372,509.747940049655,18.69379124965502,3.81,325.2511598,328.1442785,337.58,345.4688038,348.821189568194,23.57002976819399,7.25,231.0843053,238.3056671,246.59,256.6509428,256.7792958502,25.694990550200004,11.12,16.75361214,18.08439579,17.78,19.01118095,18.4670041536102,1.7133920136101999,10.23,606.3074461,639.0792126,652.05,765.497083,772.096649850944,165.789203750944,27.34
11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,0.0,,16.21966057,16.219651012257874,16.22,16.21876107,16.21872828,-0.0009322899999979484,-0.01,16.21993698,16.219651012257874,10.81,10.81250738,10.81248552,-5.407451460000001,-33.34,16.21966057,16.219651012257874,16.22,16.21876107,16.21872828,-0.0009322899999979484,-0.01,48.658953036773624,43.252402699354334,37.85,21.62501476,21.62497104,-27.033981996773626,-55.56,262.7104769,264.7567025,272.88,270.1664599,279.2060813,16.49560439999999,6.28,164.4774127,169.2416051,178.65,184.7824394,193.6387068,29.161294099999992,17.73,133.2443359,140.8657671,149.74,158.3107978,167.7329879,34.488652,25.88,10.32706573,10.13422785,9.81,10.38103592,10.46695712,0.13989139000000073,1.35,326.1841492,358.4983101,409.71,403.5627715,446.4157214,120.23157220000002,36.86
11290,서울특별시,성북구,4.069283855,4.068872519371689,4.07,4.068696308,4.06869294736344,-0.0005909076365604449,-0.01,4.069283855,4.068872519371689,4.07,4.068696308,4.06869294736344,-0.0005909076365604449,-0.01,28.47998515,28.482107635601817,28.48,32.54957046,32.5495435789075,4.069558428907502,14.29,4.069283855,4.068872519371689,4.07,4.06869630788147,4.06869294736344,-0.0005909076365604449,-0.01,20.34436259685844,20.34436259685844,20.34,12.2060889236444,12.2060788420903,-8.138283754768139,-40.0,233.141308,239.7329997,243.42,245.35487,248.119134778501,14.977826778500997,6.42,213.2610415,218.9164892,225.07,228.6261289,234.021456666087,20.760415166087,9.73,159.9457811,164.7020608,171.88,177.7428746,180.685241140784,20.739460040783996,12.97,9.714221168,9.836373078,10.22,10.68780684,10.103335980564,0.3891148125639994,4.01,371.8513498,414.7289393,444.8,467.9400646,504.931837726326,133.08048792632604,35.79
11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,0.0,,4.237269876,4.237224415637919,4.24,4.237215977,4.23721486409381,-5.50119061903942e-05,-0.0,25.42704747,25.423346493827516,25.42,21.18607989,16.9488594563752,-8.478188013624802,-33.34,0.0,4.237224415637919,0.0,0.0,0.0,0.0,,12.711673246913758,12.711673246913758,12.71,4.23721597724147,4.23721486409381,-8.474458382819948,-66.67,64.02211789,65.24808882,67.18,68.44650276,69.7642938708076,5.742175980807602,8.97,135.3701498,141.2085504,147.74,149.4926105,157.229975738685,21.859825938684992,16.15,124.2220198,130.4961776,136.37,138.9361847,146.47030852478,22.248288724779997,17.91,9.874057983,9.738520719,9.69,9.534836205,9.71840909643091,-0.15564888656908948,-1.58,150.3404957,170.7487299,182.16,195.1236123,205.127849142523,54.787353442523,36.44
11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,0.0,,4.840045077,4.8423613098934055,4.84,4.842378169,4.84237816939704,0.0023330923970394934,0.05,29.03051239,29.054167859360433,29.05,33.89664719,29.0542690163822,0.023756626382201773,0.08,4.840045077,4.8423613098934055,4.84,4.84237816939704,4.84237816939704,0.0023330923970394934,0.05,19.369445239573626,19.369445239573626,19.37,9.68475633879408,9.68475633879408,-9.684688900779546,-50.0,125.0892423,108.837012,123.52,105.8730678,119.890013943729,-5.199228356270993,-4.16,119.3897325,123.5945729,130.13,135.3891958,141.066239232703,21.676506732703004,18.16,101.6912546,108.5295628,113.43,118.3853395,125.428411327,23.737156727000013,23.34,5.699509842,5.534085354,5.36,6.416549565,6.51576162737662,0.81625178537662,14.32,240.5793102,247.8040442,252.39,271.4200466,287.670875848677,47.091565648676976,19.57
