sd_cd,시도,시군구,응급실30분도달_2019,응급실30분도달_2020,응급실30분도달_2021,응급실30분도달_2022,응급실30분도달_2023,응급실30분도달_변화량,응급실30분도달_변화율%,분만실60분도달_2019,분만실60분도달_2020,분만실60분도달_2021,분만실60분도달_2022,분만실60분도달_2023,분만실60분도달_변화량,분만실60분도달_변화율%,권역응급의료센터60분_2019,권역응급의료센터60분_2020,권역응급의료센터60분_2021,권역응급의료센터60분_2022,권역응급의료센터60분_2023,권역응급의료센터60분_변화량,권역응급의료센터60분_변화율%,고위험분만센터90분_2019,고위험분만센터90분_2020,고위험분만센터90분_2021,고위험분만센터90분_2022,고위험분만센터90분_2023,고위험분만센터90분_변화량,고위험분만센터90분_변화율%,신생아중환자실90분_2019,신생아중환자실90분_2020,신생아중환자실90분_2021,신생아중환자실90분_2022,신생아중환자실90분_2023,신생아중환자실90분_변화량,신생아중환자실90분_변화율%,산부인과60분이용률_2019,산부인과60분이용률_2020,산부인과60분이용률_2021,산부인과60분이용률_2022,산부인과60분이용률_2023,산부인과60분이용률_변화량,산부인과60분이용률_변화율%,응급실30분이용률_2019,응급실30분이용률_2020,응급실30분이용률_2021,응급실30분이용률_2022,응급실30분이용률_2023,응급실30분이용률_변화량,응급실30분이용률_변화율%,분만실60분이용률_2019,분만실60분이용률_2020,분만실60분이용률_2021,분만실60분이용률_2022,분만실60분이용률_2023,분만실60분이용률_변화량,분만실60분이용률_변화율%,응급실관내이용률_2019,응급실관내이용률_2020,응급실관내이용률_2021,응급실관내이용률_2022,응급실관내이용률_2023,응급실관내이용률_변화량,응급실관내이용률_변화율%,분만실관내이용률_2019,분만실관내이용률_2020,분만실관내이용률_2021,분만실관내이용률_2022,분만실관내이용률_2023,분만실관내이용률_변화량,분만실관내이용률_변화율%
11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,94.07988588,92.22672065,96.18,87.85822021,87.16108453,-6.91880135000001,-7.35,89.03489561,88.75659126,89.55,83.58970773318418,78.84615385,-10.188741760000013,-11.44,92.31843575,91.10320285,97.61,89.07922912,82.93172691,-9.386708840000011,-10.17,35.93225288,34.76781766,29.44,28.50525015,27.31045933,-8.62179355,-23.99,19.16083916,14.23487544,18.38,19.35483871,22.89156627,3.73072711,19.47
11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,95.62547966,93.63636364,94.71,88.56235107,90.34690799,-5.278571669999991,-5.52,92.02161884,91.069202,91.16,87.61174503961044,84.11994785,-7.9016709899999995,-8.59,95.28985507,93.67429341,95.21,93.67521368,91.18644068,-4.1034143899999975,-4.31,29.23690645,26.16895262,27.18,22.60989011,23.75488918,-5.48201727,-18.75,16.56516443,18.70794078,18.73,17.72939347,10.16949153,-6.395672899999999,-38.61
11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,95.34035656,93.88753056,95.4,90.89703933,92.2532442,-3.087112360000006,-3.24,91.3107753,90.1258264,90.84,86.1896007807358,81.28742515,-10.023350149999999,-10.98,94.81373265,93.88254486,95.62,92.73897059,91.28888889,-3.52484376000001,-3.72,32.862423,30.04905097,26.33,32.00820037,32.56819694,-0.29422605999999973,-0.9,10.54945055,8.890701468,8.11,9.901800327,9.6,-0.9494505499999999,-9.0
11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,95.55555556,94.46212603,96.69,92.931096037,92.836209704,-2.719345856000004,-2.85,93.39883165,92.25792382,92.83,90.07052709725315,89.420586966,-3.9782446840000034,-4.26,95.71428571,94.95798319,98.14,96.18644067796612,94.084899095,-1.6293866150000014,-1.7,45.19332908,42.64321024,45.95,44.274762716,49.956840742,4.763511661999999,10.54,13.90876565,9.293129016,5.55,2.132564841,2.087682672,-11.821082978,-84.99
11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,93.32917706,93.87469373,95.66,89.04109589,89.541225537,-3.787951523000004,-4.06,91.53482398,90.92290163,90.42,85.99621383458143,86.253483582,-5.2813403979999975,-5.77,93.04620906,93.60529217,96.13,93.7402190923317,89.793103448,-3.253105611999999,-3.5,56.66238468,49.25939992,47.3,45.80385539,47.728098873,-8.934285807000002,-15.77,44.13483146,47.07828004,44.43,40.748162993,41.172413793,-2.962417667000004,-6.71
11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,94.43697931,94.49747333,95.7,89.322757779,91.624508151,-2.8124711589999976,-2.98,92.7679191,91.52658876,92.21,88.0516978823652,88.53224274,-4.235676359999999,-4.57,93.36211549,93.89752447,96.44,93.9124487004104,90.020646937,-3.3414685529999986,-3.58,34.0190344,40.94857214,41.44,40.434051809,41.587144214,7.568109813999996,22.25,42.74150027,44.67472654,45.4,40.888602704,41.156228493,-1.5852717770000027,-3.71
11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,94.8494826,94.53792389,95.76,91.65766739,90.35447311,-4.495009490000001,-4.74,93.11980067,92.43108302,92.19,89.60305615574813,88.32218606,-4.797614609999997,-5.15,93.41135674,93.23647295,96.26,94.19424851,91.70679508,-1.704561659999996,-1.82,40.74669453,18.59032241,19.86,32.61849132,40.95282378,0.2061292500000036,0.51,36.60017346,28.90781563,30.93,32.88170922,34.082397,-2.5177764600000003,-6.88
11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,93.89140271,92.98153034,95.43,88.00714468,90.497419052,-3.3939836579999962,-3.61,91.93450858,90.625,91.51,87.66616668765815,85.155891793,-6.778616787000004,-7.37,94.12345679,94.18604651,96.85,93.12567132116,91.122565865,-3.0008909250000073,-3.19,43.86454554,35.96438815,38.51,38.883326181,48.681797341,4.817251800999998,10.98,43.52126607,38.37209302,39.82,38.0,32.64604811,-10.87521796,-24.99
11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,93.30558446,94.50271248,94.66,86.060855263,87.916371368,-5.389213092000006,-5.78,91.21171049,90.64511615,90.08,83.51390880820186,81.467833564,-9.743876925999999,-10.68,92.47554552,93.19371728,97.27,91.85360094451,88.583973655,-3.891571865000003,-4.21,0.048796357,1.721242653,0.03,0.00593296,0.081887507,0.03309115,67.81,56.79939895,59.77312391,61.15,56.942949408,56.201975851,-0.5974230989999967,-1.05
11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,94.89516864,92.864,93.81,74.290657439,79.857050032,-15.03811860799999,-15.85,89.71746665,89.37997922,89.28,76.82421288798419,76.69180344,-13.025663210000005,-14.52,93.91534392,92.46467818,95.18,90.0093370681606,86.646586345,-7.268757574999995,-7.74,42.12267619,35.19224108,32.1,36.664349438,40.337128493,-1.7855476969999984,-4.24,40.23825281,44.03453689,40.35,43.755535872,42.068273092,1.8300202819999996,4.55
