코드,기준연도,sd_cd,명칭,sd_nm2,ra27_응급실30분도달,ra28_분만실60분도달,ra42_권역응급의료센터60분,ra44_고위험분만센터90분,ra45_신생아중환자실90분,ut24_산부인과60분이용률,ut27_응급실30분이용률,ut28_분만실60분이용률,uu27_응급실관내이용률,uu28_분만실관내이용률
C11110,2019,11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,94.07988588,89.03489561,92.31843575,35.93225288,19.16083916
C11110,2020,11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,92.22672065,88.75659126,91.10320285,34.76781766,14.23487544
C11110,2021,11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,96.18,89.55,97.61,29.44,18.38
C11110,2022,11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,87.85822021,83.58970773318418,89.07922912,28.50525015,19.35483871
C11110,2023,11110,서울특별시,종로구,0.0,0.0,0.0,0.0,0.0,87.16108453,78.84615385,82.93172691,27.31045933,22.89156627
C11140,2019,11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,95.62547966,92.02161884,95.28985507,29.23690645,16.56516443
C11140,2020,11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,93.63636364,91.069202,93.67429341,26.16895262,18.70794078
C11140,2021,11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,94.71,91.16,95.21,27.18,18.73
C11140,2022,11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,88.56235107,87.61174503961044,93.67521368,22.60989011,17.72939347
C11140,2023,11140,서울특별시,중구,0.0,0.0,0.0,0.0,0.0,90.34690799,84.11994785,91.18644068,23.75488918,10.16949153
C11170,2019,11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,95.34035656,91.3107753,94.81373265,32.862423,10.54945055
C11170,2020,11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,93.88753056,90.1258264,93.88254486,30.04905097,8.890701468
C11170,2021,11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,95.4,90.84,95.62,26.33,8.11
C11170,2022,11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,90.89703933,86.1896007807358,92.73897059,32.00820037,9.901800327
C11170,2023,11170,서울특별시,용산구,0.0,0.0,0.0,0.0,0.0,92.2532442,81.28742515,91.28888889,32.56819694,9.6
C11200,2019,11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,95.55555556,93.39883165,95.71428571,45.19332908,13.90876565
C11200,2020,11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,94.46212603,92.25792382,94.95798319,42.64321024,9.293129016
C11200,2021,11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,96.69,92.83,98.14,45.95,5.55
C11200,2022,11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,92.931096037,90.07052709725315,96.18644067796612,44.274762716,2.132564841
C11200,2023,11200,서울특별시,성동구,0.0,0.0,0.0,0.0,0.0,92.836209704,89.420586966,94.084899095,49.956840742,2.087682672
C11215,2019,11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,93.32917706,91.53482398,93.04620906,56.66238468,44.13483146
C11215,2020,11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,93.87469373,90.92290163,93.60529217,49.25939992,47.07828004
C11215,2021,11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,95.66,90.42,96.13,47.3,44.43
C11215,2022,11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,89.04109589,85.99621383458143,93.7402190923317,45.80385539,40.748162993
C11215,2023,11215,서울특별시,광진구,0.0,0.0,0.0,0.0,0.0,89.541225537,86.253483582,89.793103448,47.728098873,41.172413793
C11230,2019,11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,94.43697931,92.7679191,93.36211549,34.0190344,42.74150027
C11230,2020,11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,94.49747333,91.52658876,93.89752447,40.94857214,44.67472654
C11230,2021,11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,95.7,92.21,96.44,41.44,45.4
C11230,2022,11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,89.322757779,88.0516978823652,93.9124487004104,40.434051809,40.888602704
C11230,2023,11230,서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0,91.624508151,88.53224274,90.020646937,41.587144214,41.156228493
C11260,2019,11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,94.8494826,93.11980067,93.41135674,40.74669453,36.60017346
C11260,2020,11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,94.53792389,92.43108302,93.23647295,18.59032241,28.90781563
C11260,2021,11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,95.76,92.19,96.26,19.86,30.93
C11260,2022,11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,91.65766739,89.60305615574813,94.19424851,32.61849132,32.88170922
C11260,2023,11260,서울특별시,중랑구,0.0,0.0,0.0,0.0,0.0,90.35447311,88.32218606,91.70679508,40.95282378,34.082397
C11290,2019,11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,93.89140271,91.93450858,94.12345679,43.86454554,43.52126607
C11290,2020,11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,92.98153034,90.625,94.18604651,35.96438815,38.37209302
C11290,2021,11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,95.43,91.51,96.85,38.51,39.82
C11290,2022,11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,88.00714468,87.66616668765815,93.12567132116,38.883326181,38.0
C11290,2023,11290,서울특별시,성북구,0.0,0.0,0.0,0.0,0.0,90.497419052,85.155891793,91.122565865,48.681797341,32.64604811
C11305,2019,11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,93.30558446,91.21171049,92.47554552,0.048796357,56.79939895
C11305,2020,11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,94.50271248,90.64511615,93.19371728,1.721242653,59.77312391
C11305,2021,11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,94.66,90.08,97.27,0.03,61.15
C11305,2022,11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,86.060855263,83.51390880820186,91.85360094451,0.00593296,56.942949408
C11305,2023,11305,서울특별시,강북구,0.0,0.0,0.0,0.0,0.0,87.916371368,81.467833564,88.583973655,0.081887507,56.201975851
C11320,2019,11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,94.89516864,89.71746665,93.91534392,42.12267619,40.23825281
C11320,2020,11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,92.864,89.37997922,92.46467818,35.19224108,44.03453689
C11320,2021,11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,93.81,89.28,95.18,32.1,40.35
C11320,2022,11320,서울특별시,도봉구,0.0,0.0,0.0,0.0,0.0,74.290657439,76.82421288798419,90.0093370681606,36.664349438,43.755535872
