sd_cd,시도,시군구,인구수_2019,인구수_2020,인구수_2021,인구수_2022,인구수_2023,인구수_변화량,인구수_변화율%,노인인구비율_2019,노인인구비율_2020,노인인구비율_2021,노인인구비율_2022,노인인구비율_2023,노인인구비율_변화량,노인인구비율_변화율%,가임여성인구비율_2019,가임여성인구비율_2020,가임여성인구비율_2021,가임여성인구비율_2022,가임여성인구비율_2023,가임여성인구비율_변화량,가임여성인구비율_변화율%,분만건수_2019,분만건수_2020,분만건수_2021,분만건수_2022,분만건수_2023,분만건수_변화량,분만건수_변화율%,재정자립도_2019,재정자립도_2020,재정자립도_2021,재정자립도_2022,재정자립도_2023,재정자립도_변화량,재정자립도_변화율%,면적_2019,면적_2020,면적_2021,면적_2022,면적_2023,면적_변화량,면적_변화율%,도서산간비율_2019,도서산간비율_2020,도서산간비율_2021,도서산간비율_2022,도서산간비율_2023,도서산간비율_변화량,도서산간비율_변화율%,연령표준화사망률_2019,연령표준화사망률_2020,연령표준화사망률_2021,연령표준화사망률_2022,연령표준화사망률_2023,연령표준화사망률_변화량,연령표준화사망률_변화율%,영아사망률_2019,영아사망률_2020,영아사망률_2021,영아사망률_2022,영아사망률_2023,영아사망률_변화량,영아사망률_변화율%,모성사망비_2019,모성사망비_2020,모성사망비_2021,모성사망비_2022,모성사망비_2023,모성사망비_변화량,모성사망비_변화율%
11110,서울특별시,종로구,151290.0,149384.0,144683.0,141379.0,139417.0,-11873.0,-7.85,18.05671227,18.95182884,19.08,19.59555521,20.44227031,2.385558040000003,13.21,24.66322956,23.35256788,24.3,24.34661442,24.06234534,-0.6008842200000011,-2.44,716.0,562.0,506.0,527.0,498.0,-218.0,-30.45,47.4,47.0,47.2,47.5,46.7,-0.6999999999999957,-1.48,23.9132804,23.9131683,23.91,23.9131617,23.9132228,-5.7600000001656326e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,276.1,267.3,297.5,284.6,261.7,-14.400000000000034,-5.22,0.0,0.0,0.0,0.0,2.525252525,2.525252525,,0.0,0.0,0.0,0.0,0.0,0.0,
11140,서울특별시,중구,126171.0,125240.0,122499.0,120437.0,121312.0,-4859.0,-3.85,18.20862163,19.30213989,19.62,20.47543529,21.04078739,2.8321657599999988,15.55,24.52782335,23.44857873,24.5,24.33139318,24.61586653,0.08804318000000322,0.36,828.0,743.0,598.0,643.0,590.0,-238.0,-28.74,54.9,53.5,55.3,55.3,55.8,0.8999999999999986,1.64,9.9599825,9.9603045,9.96,9.9602865,9.9599474,-3.509999999984359e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,267.1,268.8,292.2,300.6,264.0,-3.1000000000000227,-1.16,2.554278416,1.4492753623188406,3.19,0.0,0.0,-2.554278416,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,
11170,서울특별시,용산구,228670.0,230040.0,222953.0,218650.0,213151.0,-15519.0,-6.79,16.76914331,17.29221005,17.29,17.59798765,18.40901521,1.6398718999999993,9.78,25.72790484,24.65223439,25.72,25.78641665,25.54620903,-0.1816958100000008,-0.71,1369.0,1226.0,1172.0,1222.0,1125.0,-244.0,-17.82,39.2,39.3,41.7,41.9,41.7,2.5,6.38,21.8663835,21.8661441,21.87,21.8676095,21.8675774,0.0011938999999969724,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,252.4,252.4,277.1,279.2,250.2,-2.200000000000017,-0.87,3.04414003,3.401360544217687,0.81,0.900900901,3.95256917,0.90842914,29.84,76.10350076,0.0,0.0,0.0,0.0,-76.10350076,-100.0
11200,서울특별시,성동구,300889.0,293556.0,285990.0,281000.0,277361.0,-23528.0,-7.82,14.55553377,15.47745575,16.15,16.91459075,17.7602474753119,3.2047137053118995,22.02,26.09932566,24.83103735,25.36,25.22846975,25.1098748562342,-0.9894508037658021,-3.79,2240.0,2023.0,1749.0,1735.0,1437.0,-803.0,-35.85,32.5,32.7,33.2,34.2,34.5,2.0,6.15,16.8593427,16.8610039,16.86,16.820272,16.820149,-0.039193699999998444,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,,265.9,259.6,258.9,296.2,247.9,-17.99999999999997,-6.77,3.651300776,1.5424164524421595,2.73,1.77514792899408,0.674308833445718,-2.9769919425542817,-81.53,0.0,0.0,0.0,0.0,0.0,0.0,
11215,서울특별시,광진구,351350.0,346682.0,339996.0,337416.0,335554.0,-15796.0,-4.5,13.57079835,14.51214658,15.13,15.92603789,16.8262038300839,3.255405480083901,23.99,27.5699445,26.53180725,27.15,27.02480025,26.7933030153119,-0.7766414846880991,-2.82,2229.0,1814.0,1463.0,1497.0,1450.0,-779.0,-34.95,26.7,26.2,26.1,25.0,26.1,-0.5999999999999979,-2.25,17.0629485,17.0629386,17.06,17.0628368,17.0628201,-0.00012840000000124974,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,248.7,256.4,254.5,272.8,247.2,-1.5,-0.6,1.53295861,1.3054830287206267,2.7,3.12989045383411,2.43704305442729,0.9040844444272897,58.98,0.0,0.0,0.0,0.0,0.0,0.0,
11230,서울특별시,동대문구,346194.0,342837.0,337400.0,336644.0,341149.0,-5045.0,-1.46,17.09157293,17.97122248,18.38,19.08692862,19.5779556733274,2.486382743327397,14.55,24.38257162,23.51817336,24.37,24.37619563,24.4435715772287,0.060999957228698776,0.25,1853.0,1737.0,1544.0,1553.0,1453.0,-400.0,-21.59,23.8,23.2,24.5,23.7,23.8,0.0,0.0,14.2153601,14.2156235,14.22,14.2160108,14.2159122,0.0005521000000001663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,288.3,282.5,296.2,313.1,298.7,10.399999999999977,3.61,2.123142251,0.0,0.63,2.03389830508474,0.735835172921265,-1.3873070780787349,-65.34,0.0,0.0,0.0,0.0,0.0,0.0,
11260,서울특별시,중랑구,397015.0,394702.0,387350.0,385318.0,382155.0,-14860.0,-3.74,16.38854955,17.56793733,18.47,19.40994192,20.61755047,4.229000920000001,25.8,23.52807828,22.3191167,22.88,22.76561178,22.48537897,-1.0426993099999997,-4.43,2307.0,1996.0,1791.0,1919.0,1869.0,-438.0,-18.99,18.1,17.5,18.2,18.2,21.6,3.5,19.34,18.4960714,18.4960823,18.5,18.4970972,18.4971346,0.0010631999999972663,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,291.7,299.9,296.1,324.8,293.6,1.900000000000034,0.65,3.565062389,2.669514148424987,2.19,1.612903226,0.0,-3.565062389,-100.0,0.0,53.39028296849973,0.0,53.76344086,0.0,0.0,
11290,서울특별시,성북구,442650.0,437153.0,430528.0,430397.0,425602.0,-17048.0,-3.85,15.97176098,16.83918445,17.31,17.95853596,18.8514151719211,2.8796541919211,18.03,25.40133288,24.19747777,24.82,24.68093411,24.351154364876095,-1.0501785151239034,-4.13,2025.0,2064.0,1964.0,1900.0,1746.0,-279.0,-13.78,19.6,20.0,20.6,19.9,20.7,1.0999999999999979,5.61,24.5743486,24.5768329,24.58,24.5778973,24.5779176,0.003568999999998823,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,275.4,268.5,264.0,277.2,262.1,-13.299999999999955,-4.83,1.863064741,1.9598236158745712,1.55,1.0548523206751,0.589970501474926,-1.273094239525074,-68.33,46.57661854,0.0,51.57,0.0,0.0,-46.57661854,-100.0
11305,서울특별시,강북구,313954.0,308055.0,299182.0,293660.0,288113.0,-25841.0,-8.23,19.2620575,20.55249874,21.46,22.53286113,23.7660223592826,4.5039648592826005,23.38,22.89411825,21.44552109,21.84,21.56371314,21.1257388594058,-1.7683793905941982,-7.72,1329.0,1146.0,973.0,929.0,911.0,-418.0,-31.45,16.8,16.8,17.2,17.1,17.2,0.3999999999999986,2.38,23.6001017,23.6003549,23.6,23.6004019,23.6004081,0.00030639999999948486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,296.4,303.1,298.8,323.9,301.9,5.5,1.86,2.444987775,3.8131553860819833,2.01,5.84795321637426,3.6319612590799,1.1869734840799002,48.55,0.0,0.0,0.0,0.0,0.0,0.0,
11320,서울특별시,도봉구,333362.0,325257.0,317366.0,311694.0,306948.0,-26414.0,-7.92,17.5976866,19.0646166,20.2,21.47683305,22.9270104382501,5.329323838250101,30.28,22.97172443,21.35326834,21.78,21.38218894,20.827306253828,-2.1444181761719996,-9.34,1512.0,1274.0,1140.0,1129.0,996.0,-516.0,-34.13,17.8,18.4,18.9,19.4,20.0,2.1999999999999993,12.36,20.6609646,20.6510819,20.65,20.65101,20.65101,-0.009954600000000369,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,,277.0,275.6,273.9,295.9,270.0,-7.0,-2.53,5.394470668,2.4630541871921183,0.88,0.915750915750915,1.02986611740473,-4.364604550595271,-80.91,0.0,0.0,0.0,0.0,0.0,0.0,
11350,서울특별시,노원구,532905.0,523037.0,510956.0,503734.0,498213.0,-34692.0,-6.51,15.17231026,16.3315406,17.28,18.25288744,19.3308885958415,4.158578335841501,27.41,24.84720541,23.27712953,23.8,23.47866136,23.0782817790784,-1.768923630921602,-7.12,2643.0,2284.0,2179.0,2215.0,2073.0,-570.0,-21.57,15.4,15.8,15.9,16.7,16.5,1.0999999999999996,7.14,35.4375379,35.4376482,35.44,35.4390551,35.439122,0.0015840999999952032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,276.6,267.5,284.6,291.9,270.6,-6.0,-2.17,1.152073733,3.108348134991119,1.35,2.22617987533392,3.34768053562888,2.19560680262888,190.58,0.0,0.0,0.0,0.0,47.8240076518412,47.8240076518412,
11380,서울특별시,은평구,480032.0,479835.0,473307.0,466746.0,466770.0,-13262.0,-2.76,16.78367276,17.71650672,18.39,19.15860018,20.04520428,3.2615315199999984,19.43,24.87292514,23.69147728,24.35,24.14118171,23.90063629,-0.9722888499999982,-3.91,2427.0,2296.0,2072.0,2125.0,1808.0,-619.0,-25.5,17.5,17.9,18.4,18.0,18.1,0.6000000000000014,3.43,29.7114205,29.710906,29.71,29.7134521,29.7101543,-0.001266199999999884,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,260.1,279.3,273.8,305.7,261.1,1.0,0.38,2.908184462,2.3320895522388057,0.48,0.965250965,2.288329519,-0.619854943,-21.31,0.0,0.0,0.0,48.26254826,0.0,0.0,
11410,서울특별시,서대문구,309397.0,312173.0,304819.0,306337.0,306231.0,-3166.0,-1.02,16.69214634,17.21993894,17.66,18.11795506,18.8054116010462,2.113265261046198,12.66,25.44368562,24.53607455,25.23,25.25486637,25.1166602989246,-0.32702532107539994,-1.29,1518.0,1535.0,1392.0,1340.0,1307.0,-211.0,-13.9,24.1,23.4,23.5,25.1,25.2,1.0999999999999979,4.56,17.6256375,17.6263683,17.63,17.6269794,17.62632,0.0006824999999999193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,260.9,270.1,269.6,294.5,257.1,-3.7999999999999545,-1.46,1.314924392,3.2615786040443573,0.7,2.20102714600146,3.07455803228285,1.7596336402828499,133.82,0.0,65.23157208088715,0.0,0.0,76.8639508070714,76.8639508070714,
11440,서울특별시,마포구,374035.0,371890.0,368905.0,364638.0,363697.0,-10338.0,-2.76,13.93024717,14.5209605,14.7,15.229625,15.8109635218327,1.8807163518327012,13.5,28.69651236,27.72647826,28.54,28.47454187,28.34172401752,-0.35478834247999913,-1.24,2365.0,2188.0,1901.0,1893.0,1664.0,-701.0,-29.64,30.7,31.6,32.0,32.6,33.0,2.3000000000000007,7.49,23.8513431,23.8503518,23.85,23.8536357,23.8539657,0.002622599999998698,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,248.0,255.8,252.6,268.8,236.9,-11.099999999999994,-4.48,1.285347044,1.4888337468982633,0.0,1.13571834185122,1.27307447485677,-0.012272569143230161,-0.95,0.0,0.0,0.0,0.0,63.6537237428389,63.6537237428389,
11470,서울특별시,양천구,458165.0,454251.0,447302.0,440881.0,436028.0,-22137.0,-4.83,13.34606528,14.4283667,15.31,16.38423974,17.45897052,4.112905240000002,30.82,25.24505364,23.71112006,24.21,23.7898662,23.44413662,-1.80091702,-7.13,2282.0,1961.0,1800.0,1702.0,1471.0,-811.0,-35.54,24.5,25.2,25.2,25.4,25.3,0.8000000000000007,3.27,17.4057101,17.4057134,17.41,17.4056939,17.4060397,0.0003296000000005961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,264.1,255.8,259.0,277.3,245.9,-18.200000000000017,-6.89,3.600360036,1.6,3.28,1.189060642,2.7605245,-0.8398355360000003,-23.33,0.0,0.0,0.0,0.0,0.0,0.0,
11500,서울특별시,강서구,591796.0,580185.0,574315.0,569166.0,563058.0,-28738.0,-4.86,14.16687507,15.29391487,16.08,17.02139622,18.081263386720295,3.914388316720295,27.63,26.39287863,25.43912717,26.17,26.07534533,25.8078208639252,-0.5850577660747973,-2.22,4072.0,3763.0,2880.0,3043.0,2833.0,-1239.0,-30.43,19.7,21.1,21.9,20.8,21.1,1.4000000000000021,7.11,41.4368534,41.4368475,41.45,41.4533371,41.4519539,0.015100500000002626,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,281.6,271.2,280.0,301.0,260.5,-21.100000000000023,-7.49,2.343139807,2.391629297458894,2.33,2.79232111692844,2.27703984819734,-0.06609995880265984,-2.82,0.0,0.0,0.0,69.8080279232111,0.0,0.0,
