코드,기준연도,sd_cd,명칭,sd_nm2,dsp01_인구수,dsp03_노인인구비율,dsp05_가임여성인구비율,dsp06_분만건수,dse01_재정자립도,dst01_면적,dst02_도서산간비율,odm01_연령표준화사망률,odb1_영아사망률,odb3_모성사망비
C11110,2019,11110,서울특별시,종로구,151290,18.05671227,24.66322956,716,47.4,23.9132804,0.0,276.1,0.0,0.0
C11110,2020,11110,서울특별시,종로구,149384,18.95182884,23.35256788,562,47.0,23.9131683,0.0,267.3,0.0,0.0
C11110,2021,11110,서울특별시,종로구,144683,19.08,24.3,506,47.2,23.91,0.0,297.5,0.0,0.0
C11110,2022,11110,서울특별시,종로구,141379,19.59555521,24.34661442,527,47.5,23.9131617,0.0,284.6,0.0,0.0
C11110,2023,11110,서울특별시,종로구,139417,20.44227031,24.06234534,498,46.7,23.9132228,0.0,261.7,2.525252525,0.0
C11140,2019,11140,서울특별시,중구,126171,18.20862163,24.52782335,828,54.9,9.9599825,0.0,267.1,2.554278416,0.0
C11140,2020,11140,서울특별시,중구,125240,19.30213989,23.44857873,743,53.5,9.9603045,0.0,268.8,1.4492753623188406,0.0
C11140,2021,11140,서울특별시,중구,122499,19.62,24.5,598,55.3,9.96,0.0,292.2,3.19,0.0
C11140,2022,11140,서울특별시,중구,120437,20.47543529,24.33139318,643,55.3,9.9602865,0.0,300.6,0.0,0.0
C11140,2023,11140,서울특별시,중구,121312,21.04078739,24.61586653,590,55.8,9.9599474,0.0,264.0,0.0,0.0
C11170,2019,11170,서울특별시,용산구,228670,16.76914331,25.72790484,1369,39.2,21.8663835,0.0,252.4,3.04414003,76.10350076
C11170,2020,11170,서울특별시,용산구,230040,17.29221005,24.65223439,1226,39.3,21.8661441,0.0,252.4,3.401360544217687,0.0
C11170,2021,11170,서울특별시,용산구,222953,17.29,25.72,1172,41.7,21.87,0.0,277.1,0.81,0.0
C11170,2022,11170,서울특별시,용산구,218650,17.59798765,25.78641665,1222,41.9,21.8676095,0.0,279.2,0.900900901,0.0
C11170,2023,11170,서울특별시,용산구,213151,18.40901521,25.54620903,1125,41.7,21.8675774,0.0,250.2,3.95256917,0.0
C11200,2019,11200,서울특별시,성동구,300889,14.55553377,26.09932566,2240,32.5,16.8593427,0.0,265.9,3.651300776,0.0
C11200,2020,11200,서울특별시,성동구,293556,15.47745575,24.83103735,2023,32.7,16.8610039,0.0,259.6,1.5424164524421595,0.0
C11200,2021,11200,서울특별시,성동구,285990,16.15,25.36,1749,33.2,16.86,0.0,258.9,2.73,0.0
C11200,2022,11200,서울특별시,성동구,281000,16.91459075,25.22846975,1735,34.2,16.820272,0.0,296.2,1.77514792899408,0.0
C11200,2023,11200,서울특별시,성동구,277361,17.7602474753119,25.1098748562342,1437,34.5,16.820149,0.0,247.9,0.674308833445718,0.0
C11215,2019,11215,서울특별시,광진구,351350,13.57079835,27.5699445,2229,26.7,17.0629485,0.0,248.7,1.53295861,0.0
C11215,2020,11215,서울특별시,광진구,346682,14.51214658,26.53180725,1814,26.2,17.0629386,0.0,256.4,1.3054830287206267,0.0
C11215,2021,11215,서울특별시,광진구,339996,15.13,27.15,1463,26.1,17.06,0.0,254.5,2.7,0.0
C11215,2022,11215,서울특별시,광진구,337416,15.92603789,27.02480025,1497,25.0,17.0628368,0.0,272.8,3.12989045383411,0.0
C11215,2023,11215,서울특별시,광진구,335554,16.8262038300839,26.7933030153119,1450,26.1,17.0628201,0.0,247.2,2.43704305442729,0.0
C11230,2019,11230,서울특별시,동대문구,346194,17.09157293,24.38257162,1853,23.8,14.2153601,0.0,288.3,2.123142251,0.0
C11230,2020,11230,서울특별시,동대문구,342837,17.97122248,23.51817336,1737,23.2,14.2156235,0.0,282.5,0.0,0.0
C11230,2021,11230,서울특별시,동대문구,337400,18.38,24.37,1544,24.5,14.22,0.0,296.2,0.63,0.0
C11230,2022,11230,서울특별시,동대문구,336644,19.08692862,24.37619563,1553,23.7,14.2160108,0.0,313.1,2.03389830508474,0.0
C11230,2023,11230,서울특별시,동대문구,341149,19.5779556733274,24.4435715772287,1453,23.8,14.2159122,0.0,298.7,0.735835172921265,0.0
C11260,2019,11260,서울특별시,중랑구,397015,16.38854955,23.52807828,2307,18.1,18.4960714,0.0,291.7,3.565062389,0.0
C11260,2020,11260,서울특별시,중랑구,394702,17.56793733,22.3191167,1996,17.5,18.4960823,0.0,299.9,2.669514148424987,53.39028296849973
C11260,2021,11260,서울특별시,중랑구,387350,18.47,22.88,1791,18.2,18.5,0.0,296.1,2.19,0.0
C11260,2022,11260,서울특별시,중랑구,385318,19.40994192,22.76561178,1919,18.2,18.4970972,0.0,324.8,1.612903226,53.76344086
